run_id,timestamp,skenario,seed,n_sample,test_size,tfidf_max_features,accuracy,precision,recall,f1_score,waktu_latih_detik,confusion_matrix,anomali,catatan
run-NB-01,2026-07-07T20:54:28.567715,NB,42,100000,0.2,5000,88.59,89.23,88.59,88.54,0.1652,"{'TN': 9499, 'FP': 501, 'FN': 1782, 'TP': 8218}",NONE,
run-RF-01,2026-07-07T20:54:52.819994,RF,42,100000,0.2,5000,90.25,90.36,90.25,90.24,21.915,"{'TN': 9288, 'FP': 712, 'FN': 1239, 'TP': 8761}",NONE,
run-NB-02,2026-07-07T20:54:55.448383,NB,123,100000,0.2,5000,88.5,89.09,88.5,88.45,0.1665,"{'TN': 9464, 'FP': 536, 'FN': 1765, 'TP': 8235}",NONE,
run-RF-02,2026-07-07T20:55:24.412706,RF,123,100000,0.2,5000,90.06,90.16,90.06,90.05,25.5124,"{'TN': 9256, 'FP': 744, 'FN': 1244, 'TP': 8756}",NONE,
run-NB-03,2026-07-07T20:55:28.323428,NB,456,100000,0.2,5000,88.43,89.0,88.43,88.39,0.2632,"{'TN': 9450, 'FP': 550, 'FN': 1764, 'TP': 8236}",NONE,
run-RF-03,2026-07-07T20:55:57.425762,RF,456,100000,0.2,5000,90.28,90.34,90.28,90.28,25.0692,"{'TN': 9221, 'FP': 779, 'FN': 1165, 'TP': 8835}",NONE,
run-NB-04,2026-07-07T20:56:00.683321,NB,789,100000,0.2,5000,88.08,88.64,88.08,88.03,0.2762,"{'TN': 9412, 'FP': 588, 'FN': 1797, 'TP': 8203}",NONE,
run-RF-04,2026-07-07T20:56:29.500331,RF,789,100000,0.2,5000,90.21,90.27,90.21,90.21,25.8088,"{'TN': 9221, 'FP': 779, 'FN': 1179, 'TP': 8821}",NONE,
run-NB-05,2026-07-07T20:56:33.001781,NB,2024,100000,0.2,5000,88.48,89.13,88.48,88.43,0.1983,"{'TN': 9490, 'FP': 510, 'FN': 1794, 'TP': 8206}",NONE,
run-RF-05,2026-07-07T20:57:04.161379,RF,2024,100000,0.2,5000,89.83,89.92,89.83,89.83,28.0515,"{'TN': 9218, 'FP': 782, 'FN': 1251, 'TP': 8749}",NONE,
